Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,About us,Methods,Partners & media
Simon Gonçalves,Eidgenössisch-Demokratische Union,Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),4 (data-value=50),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Tobias Kipfer,Parteilos,Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),7 (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),6 (data-value=83),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Daniel Suter,Eidgenössisch-Demokratische Union,Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),7 (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),1 (data-value=0),6 (data-value=83),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Andreas Graber,Eidgenössisch-Demokratische Union,Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),6 (data-value=83),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),4 (data-value=50),5 (data-value=67),3 (data-value=33),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Markus Kasser,Eidgenössisch-Demokratische Union,Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),7 (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),2 (data-value=17),5 (data-value=67),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Gnepf Patric,Parteilos,Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),5 (data-value=67),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),3 (data-value=33),2 (data-value=17),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Zeno Dähler,Eidgenössisch-Demokratische Union,No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),6 (data-value=83),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),6 (data-value=83),4 (data-value=50),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Margrit Suter,Parteilos,Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),7 (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),1 (data-value=0),7 (data-value=100),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Claudia Schiesser - Gut,Eidgenössisch-Demokratische Union,Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),4 (data-value=50),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),1 (data-value=0),7 (data-value=100),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Hanspeter Dähler,Parteilos,Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),7 (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Barbara Schipp,Parteilos,Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),6 (data-value=83),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),4 (data-value=50),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Anton Baumberger,Parteilos,Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),3 (data-value=33),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),1 (data-value=0),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Franco Neuweiler,Eidgenössisch-Demokratische Union,Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),5 (data-value=67),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),3 (data-value=33),3 (data-value=33),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Christoph Währer,Eidgenössisch-Demokratische Union,Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),5 (data-value=67),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),5 (data-value=67),3 (data-value=33),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Erich Schaffner,Parteilos,Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),6 (data-value=83),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),3 (data-value=33),6 (data-value=83),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Markus Krauer,Parteilos,Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),6 (data-value=83),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),3 (data-value=33),5 (data-value=67),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Roman Hugentobler,Alternative Linke,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Rona Jung,Alternative Linke,Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),6 (data-value=83),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Miguel Pedro Bachmann,Alternative Linke,Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),2 (data-value=17),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),7 (data-value=100),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Mia Speck,Alternative Linke,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Lukas Schär,Alternative Linke,Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Géraldine Geiger,Alternative Linke,Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),1 (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
